# 270 Standardized Variants (Unicode 6.3)
# Version 12/03/2013
# Prepared by Ken Lunde (lunde@adobe.com), Adobe Systems Incorporated
4E0D FE00; Standardized_Variants; CID+5109
4E32 FE00; Standardized_Variants; CID+3802
4E39 FE00; Standardized_Variants; CID+4192
4E82 FE00; Standardized_Variants; CID+4389
4E86 FE00; Standardized_Variants; CID+4551
4EAE FE00; Standardized_Variants; CID+4427
4EC0 FE00; Standardized_Variants; CID+5771
4EE4 FE00; Standardized_Variants; CID+4489
4F86 FE00; Standardized_Variants; CID+4420
4F8B FE00; Standardized_Variants; CID+4506
4FBF FE00; Standardized_Variants; CID+7518
502B FE00; Standardized_Variants; CID+4595
50DA FE00; Standardized_Variants; CID+4552
5169 FE00; Standardized_Variants; CID+4429
516D FE00; Standardized_Variants; CID+4591
51B7 FE00; Standardized_Variants; CID+4424
51C9 FE00; Standardized_Variants; CID+4430
51CC FE00; Standardized_Variants; CID+4607
51DC FE00; Standardized_Variants; CID+4606
5207 FE00; Standardized_Variants; CID+6684
5217 FE00; Standardized_Variants; CID+4478
5229 FE00; Standardized_Variants; CID+4614
523A FE00; Standardized_Variants; CID+6484
5289 FE00; Standardized_Variants; CID+4577
529B FE00; Standardized_Variants; CID+4458
52A3 FE00; Standardized_Variants; CID+4479
52D2 FE00; Standardized_Variants; CID+4604
52DE FE00; Standardized_Variants; CID+4511
52F5 FE00; Standardized_Variants; CID+4442
5317 FE00; Standardized_Variants; CID+5151
533F FE00; Standardized_Variants; CID+4188
5375 FE00; Standardized_Variants; CID+4390
53C3 FE00; Standardized_Variants; CID+7083
53E5 FE00; Standardized_Variants; CID+3902
540F FE00; Standardized_Variants; CID+4616
541D FE00; Standardized_Variants; CID+4638
5442 FE00; Standardized_Variants; CID+4443
54BD FE00; Standardized_Variants; CID+6447
5587 FE00; Standardized_Variants; CID+4374
56F9 FE00; Standardized_Variants; CID+4491
585E FE00; Standardized_Variants; CID+5362
58D8 FE00; Standardized_Variants; CID+4564
58DF FE00; Standardized_Variants; CID+4536
5948 FE00; Standardized_Variants; CID+4156
5951 FE00; Standardized_Variants; CID+3708
5973 FE00; Standardized_Variants; CID+4159
5B85 FE00; Standardized_Variants; CID+4266
5BE7 FE00; Standardized_Variants; CID+4167
5BE7 FE01; Standardized_Variants; CID+4167
5BEE FE00; Standardized_Variants; CID+4553
5C3F FE00; Standardized_Variants; CID+4180
5C62 FE00; Standardized_Variants; CID+4566
5C65 FE00; Standardized_Variants; CID+4618
5D19 FE00; Standardized_Variants; CID+4596
5D50 FE00; Standardized_Variants; CID+4399
5DBA FE00; Standardized_Variants; CID+4493
5E74 FE00; Standardized_Variants; CID+4160
